Country,Impressions,Estimated earnings (EUR),Page views,Page RPM (EUR),Impression RPM (EUR),CTR,Active View Viewable,Average Viewable Time,Active View Measurable,Total impressions,Clicks,CPC (EUR),Page CTR,Ad requests,Ad request CTR,Ad request RPM (EUR),Coverage,Matched ad requests,Matched ad CTR,Matched ad RPM (EUR),Ads per impression,Ad CTR,Ad impressions,Ad RPM (EUR),Funnel requests,Funnel clicks,Funnel RPM (EUR),Funnel impressions
Spain,3709,28.97,2158,13.42,7.81,0.0348,0.6302,13.0191,1,3709,129,0.22,0.0598,6157,0.021,4.71,0.763,4698,0.0275,6.17,1.0016,0.0347,3715,7.80,19,7,0.00,4
Morocco,3597,5.14,2955,1.74,1.43,0.0364,0.6962,13.2585,0.9882,3597,131,0.04,0.0443,6926,0.0189,0.74,0.7127,4936,0.0265,1.04,1.0081,0.0361,3626,1.42,94,30,0.85,48
Indonesia,3542,4.55,3295,1.38,1.28,0.0412,0.6696,12.2547,0.9959,3542,146,0.03,0.0443,8953,0.0163,0.51,0.54,4835,0.0302,0.94,1.0042,0.041,3557,1.28,37,16,1.66,13
Kuwait,3438,17.35,1774,9.78,5.05,0.0384,0.6435,13.7246,0.9985,3438,132,0.13,0.0744,5361,0.0246,3.24,0.8159,4374,0.0302,3.97,1.0055,0.0382,3457,5.02,8,25,0.00,4
Ethiopia,3292,4.35,2064,2.11,1.32,0.0361,0.5789,16.0829,0.9994,3292,119,0.04,0.0577,5804,0.0205,0.75,0.7261,4214,0.0282,1.03,1.0079,0.0359,3318,1.31,2,24,,0
Bangladesh,3248,3.65,3270,1.12,1.12,0.0662,0.7032,13.4819,0.9997,3248,215,0.02,0.0657,8025,0.0268,0.46,0.5808,4661,0.0461,0.78,1.0034,0.066,3259,1.12,49,20,0.00,36
Switzerland,3237,66.40,1735,38.27,20.51,0.0324,0.6196,13.1342,1,3237,105,0.63,0.0605,5069,0.0207,13.10,0.8268,4191,0.0251,15.84,1.0015,0.0324,3242,20.48,2,7,,0
Grenada,3145,10.50,1759,5.97,3.34,0.0391,0.5553,11.3912,0.999,3145,123,0.09,0.0699,5084,0.0242,2.07,0.7624,3876,0.0317,2.71,1.0016,0.039,3150,3.33,14,7,0.00,2
New Zealand,3120,36.73,1732,21.21,11.77,0.0442,0.6277,12.6709,0.9922,3120,138,0.27,0.0797,4554,0.0303,8.07,0.8917,4061,0.034,9.04,1.0045,0.044,3134,11.72,17,14,74.82,7
Hungary,3063,14.87,1476,10.08,4.86,0.0278,0.6077,12.0602,0.997,3063,85,0.17,0.0576,4697,0.0181,3.17,0.8007,3761,0.0226,3.95,1.0026,0.0277,3071,4.84,3,10,0.00,2
Cambodia,2836,5.97,1448,4.12,2.10,0.0659,0.6159,16.9075,1,2836,187,0.03,0.1291,4907,0.0381,1.22,0.7021,3445,0.0543,1.73,1.0085,0.0654,2860,2.09,0,32,,0
